,name,ident,prizepool,nb_players,mode,speed,buyin
0,Deepstack Hold'em,125478481,1000.0,39,normal,turbo,18.0
1,Deepstack Hold'em,125478496,5000.0,242,normal,normal,18.0
2,Freeroll,125478511,3000.0,308,normal,semiturbo,0.0
3,Freeroll,125478546,100.0,2820,normal,turbo,0.0
4,Hold'em,125478485,400.0,87,normal,turbo,4.5
5,Hold'em,125478492,500.0,18,normal,semiturbo,9.0
6,Hold'em,125478495,4000.0,95,normal,semiturbo,9.0
7,Freeroll,125561321,100.0,3950,normal,turbo,0.0
8,Freeroll,125561322,100.0,3715,normal,turbo,0.0
9,Freeroll,125561323,150.0,4105,normal,turbo,0.0
10,Omaha,125561252,1000.0,40,normal,normal,4.5
11,Sit&Go Freeroll,126839490,0.1,10,sitngo,turbo,0.0
12,Sit&Go Freeroll,126846691,0.1,10,sitngo,turbo,0.0
13,Sit&Go Freeroll,126847850,0.1,9,sitngo,turbo,0.0
14,Sit&Go Freeroll,126879819,0.1,10,sitngo,turbo,0.0
15,Sit&Go Freeroll,126881654,0.1,10,sitngo,turbo,0.0
16,Freeroll,125640876,100.0,4155,normal,turbo,0.0
17,Freeroll,125640877,100.0,3390,normal,turbo,0.0
18,Freeroll,125640878,150.0,4151,normal,turbo,0.0
19,Freeroll,125640883,150.0,3704,normal,turbo,0.0
20,Freeroll,125721531,100.0,4434,normal,turbo,0.0
21,Deepstack Hold'em,125816818,1200.0,99,normal,normal,9.0
22,Freeroll,125816896,50.0,2487,normal,turbo,0.0
23,Freeroll,125816897,100.0,3005,normal,turbo,0.0
24,Freeroll,125816899,100.0,2704,normal,turbo,0.0
25,Freeroll,125816901,100.0,4083,normal,turbo,0.0
26,Freeroll,125998440,50.0,1839,normal,turbo,0.0
27,Freeroll,125998441,100.0,3241,normal,turbo,0.0
28,Freeroll,125998445,100.0,4002,normal,turbo,0.0
29,Freeroll,126172341,100.0,4249,normal,turbo,0.0
30,Freeroll,126172342,100.0,4621,normal,turbo,0.0
31,Freeroll,126172343,100.0,4436,normal,turbo,0.0
32,Freeroll,126172347,150.0,6420,normal,turbo,0.0
33,Freeroll,126172348,250.0,7239,normal,turbo,0.0
34,Freeroll,126172349,150.0,5000,normal,turbo,0.0
35,Freeroll,126253906,250.0,6770,normal,turbo,0.0
36,Freeroll,126253907,150.0,5000,normal,turbo,0.0
37,Freeroll,126338359,50.0,2586,normal,turbo,0.0
38,Freeroll,126338489,150.0,7455,normal,turbo,0.0
39,Freeroll,126338490,250.0,6390,normal,turbo,0.0
40,Super Freeroll Stade 1,127664912,0.0,6,freeroll100k,turbo,0.0
41,Welcome Freeroll,126338473,1000.0,943,normal,semiturbo,0.0
42,Freeroll,126432300,150.0,7593,normal,turbo,0.0
43,Freeroll,126432302,250.0,8751,normal,turbo,0.0
44,Freeroll,126895216,150.0,5943,normal,turbo,0.0
45,Freeroll,126895217,250.0,6680,normal,turbo,0.0
46,Freeroll,126982947,100.0,3717,normal,turbo,0.0
47,Freeroll,126982951,150.0,5000,normal,turbo,0.0
48,Freeroll,126983097,150.0,8191,normal,turbo,0.0
49,Welcome Freeroll,126983080,1000.0,1150,normal,semiturbo,0.0
50,Freeroll,127085746,150.0,8729,normal,turbo,0.0
51,Freeroll,127085747,250.0,9824,normal,turbo,0.0
52,Freeroll,127085749,150.0,5000,normal,turbo,0.0
53,Freeroll,127184492,100.0,4712,normal,turbo,0.0
54,Freeroll,127279910,100.0,4467,normal,turbo,0.0
55,Freeroll,127279911,100.0,3953,normal,turbo,0.0
56,Freeroll,127279912,100.0,4340,normal,turbo,0.0
57,Freeroll,127279913,150.0,5000,normal,turbo,0.0
58,Freeroll,127279915,150.0,6576,normal,turbo,0.0
59,Freeroll,127279916,250.0,9038,normal,turbo,0.0
60,Freeroll,128134053,150.0,5407,normal,turbo,0.0
61,Freeroll,128134054,250.0,5598,normal,turbo,0.0
62,Starting Block Winamax Poker Tour,129589899,0.0,10,winamaxpokertour,turbo,0.0
63,Freeroll,128222572,150.0,5000,normal,turbo,0.0
64,MiniRoll,128222930,71.5,325,normal,semiturbo,0.22
65,Qualif. Ticket 3â‚¬,128223415,16.2,36,qualifier,semiturbo,0.45
66,Qualif. Ticket 5â‚¬,128223395,81.0,90,qualifier,semiturbo,0.9
67,KILL THE FISH,128614192,500.5,143,knockout,semiturbo,3.5
68,KILL THE FISH,128614193,2240.0,640,knockout,semiturbo,3.5
69,Starting Block Winamax Poker Tour,130221264,0.0,10,winamaxpokertour,turbo,0.0
70,1â‚¬ et Ã  table...,128706042,59.4,66,normal,semiturbo,0.9
71,2â‚¬ et au boulot...,128706039,142.2,79,normal,semiturbo,1.8
72,Freeroll,128706014,50.0,2894,normal,turbo,0.0
73,Freeroll,128706015,100.0,4250,normal,turbo,0.0
74,MiniRoll,128706001,67.98,309,normal,semiturbo,0.22
75,Freeroll,129294762,150.0,4072,normal,turbo,0.0
76,Freeroll,129514045,150.0,5000,normal,turbo,0.0
77,KILL THE FISH,129514094,773.5,221,knockout,turbo,3.5
78,MiniRoll,129514029,125.55,279,normal,semiturbo,0.45
79,Starting Block - Deglingos,131223179,0.0,10,winamaxpokertour,turbo,0.0
80,KILL THE FISH,129623740,1634.5,467,knockout,semiturbo,3.5
81,Starting Block - Deglingos,131328982,0.0,10,winamaxpokertour,turbo,0.0
82,Freeroll,130954096,100.0,4165,normal,turbo,0.0
83,Hold'em [180 Max],130954785,99.9,111,normal,turbo,0.9
84,KILL THE FISH,130954247,1382.5,395,knockout,semiturbo,3.5
85,KILL THE FISH,130954631,406.0,58,knockout,semiturbo,7.0
86,MiniRoll,130954081,57.42,261,normal,semiturbo,0.22
87,MiniRoll,130954325,23.1,105,normal,semiturbo,0.22
88,MiniRoll,130954434,108.9,242,normal,semiturbo,0.45
89,Qualif. Ticket 50â‚¬,130954399,99.0,22,qualifier,semiturbo,4.5
90,KILL THE FISH,131281280,1883.0,538,knockout,semiturbo,3.5
